name,gender
Ryou Narita,m
Toshiyuki Toyonaga,m
Ayane Sakura,f
Christopher Lloyd,m
Frank Sivero,m
Zach Grenier,m
Tatsuya Gashûin,f
James Waterston,m
Uday Chopra,m
Nadji Jeter,m
Haru Kuroki,f
Megan Follows,f
Ichirô Sugai,m
Darlanne Fluegel,f
Rodrigo Fernandez- Stoll,m
Frank Gio,m
Joe Pesci,m
Una O'Connor,f
Roberto Benigni,m
Matt De Matt,m
Hank Mann,m
Jason Wingreen,m
Marianne Muellerleile,f
Vittorio Gassman,m
Jack Warden,m
Frank Medrano,m
Frank Oz,m
Austin Trevor,m
Tatsuo Matsumura,m
Hiro Yuuki,m
Eric Stoltz,m
Charmion King,f
Benicio del Toro,m
Kinuyo Tanaka,f
Harry Nehring,m
William Redfield,m
Hank Mann,m
Kaito Ishikawa,m
Matt Smith,m
Torin Thatcher,m
Mackenzie Foy,f
Buster Keaton,m
Billy Zane,m
Bonnie Hunt,f
Kevin Spacey,m
Hisashi Igawa,m
Hisaya Morishige,m
David Proval,m
Kouki Uchiyama,m
Horst Buchholz,m
Nicoletta Braschi,f
Tamio Ohki,m
Gastone Moschin,m
Lucius Wyatt 'Cherokee',m
Rogério Cardoso,m
John Rhys-Davies,m
Kenny Baker,m
Guenièvre Sandré,f
Darrell Britt-Gibson,m
Elsa Raven,f
Brad Pitt,m
Billy Dee Williams,m
Martin Wuttke,m
John Fiedler,m
Steve Bacic,m
Yuriko Ishida,f
Patricia Hamilton,f
Antonio David Lyons,m
Emma Dunn,f
Keith Szarabajka,m
Frank Vincent,m
Antoine-Olivier Pilon,m
Eric Challier,m
Henry Fonda,m
Douglas Booth,m
Claudia Cardinale,f
Thomas Lennon,m
Austin Stowell,m
Josh Stewart,m
Lauren Sánchez,f
Kurtwood Smith,m
Robert Gulaczyk,m
Matt Smith,m
Setsuko Hara,f
Sammy Stein,m
Harry Myers,m
Josh Charles,m
Henry Daniell,m
Machiko Kyô,f
Mauro Vestri,m
Al Pacino,m
Justin Laramée,m
Thomas F. Wilson,m
Zeljko Ivanek,m
Nathan George,m
Lee Strasberg,m
Sergio Bini Bustric,m
Miranda Otto,f
