name,gender
Lila Yacoub,f
Michael I. Rachmil,m
Ross LaManna,m
Moritz Borman,m
Gérard Moulévrier,m
Debra Zane,f
Rob Edwards,m
Bruce Stubblefield,m
Dante Spinotti,m
Peter Borck,m
Susan Ekins,f
Harry Gregson-Williams,m
Jean Gruault,m
Kinji Fukasaku,m
Greg Shapiro,m
Aude Bronson-Howard,f
Michael Barry,m
Natalie Ward,f
Dirk Schäfer,m
Adam McKay,m
Robert Simonds,m
Eli Roth,m
Simone Bär,f
Elizabeth Kling,f
Lawrence Jordan,m
Celia D. Costas,f
Adam McKay,m
Veronica Ferres,f
John Bloom,m
Luc Roeg,m
Kerry Barden,m
Jenia Reissar,f
Abby Gail Palanker,f
Albert R. Broccoli,m
Lewis Carroll,m
Frank Skinner,m
Steven Paul,m
Thomas Stanford,m
Steven Siebert,m
David Chapman,m
Carmine Zozzora,m
David R. Beecroft,m
Ronald Sanders,m
Naomi Geraghty,f
Will Ferrell,m
Christophe Beck,m
D.J. Caruso,m
Dale Robinette,m
Nicholas McCarthy,m
tomandandy,m
Christophe Beck,m
Carter Burwell,m
Tim Galvin,m
Todd E. Miller,m
Pierre Henry,m
David Lazan,m
Julie Oppenheimer,f
Scott Stuber,m
Thomas Berger,m
Mark Johnson,m
Charles Taylor,m
Cliff Fleming,m
Ryan Kavanaugh,m
Patrick J. Clifton,m
Mary Vernieu,f
Arnold Kopelson,m
Robin D. Cook,f
Scott Niemeyer,m
M. Scott Smith,m
Susan Downey,f
Paul Lalonde,m
Michael A. Martinez,m
Neil Spisak,m
Tom Myers,m
James Huth,m
Trevor Rabin,m
Declan Quinn,m
Gerald T. Olson,m
Lee Percy,m
Pino Donaggio,m
Axel Anderson,m
Nicki Katz,f
Rick Alexander,m
David F. Klassen,m
Akiva Goldsman,m
Anna Worley,f
Norris Spencer,m
Ellen Lutter,f
William Sherak,m
Bill Knoll,m
Rudolph Maté,m
Billy Crystal,m
Pieter Jan Brugge,m
Peter Levy,m
Patricia Norris,f
John Francis Daley,m
Merian C. Cooper,m
Paul S. Fox,m
Fredric Steinkamp,m
Andrew Niccol,m
David Yates,m
Bruce Davey,m
Stephanie Holbrook,f
Albert Fennell,m
Shane Hurlbut,m
Rick Benattar,m
Alex Kavanagh,f
Brad Ingelsby,m
Gary Rydstrom,m
Nick Navarro,m
