title,date,actors,staff,genres
The Big-Hearted Will Take Away the Bride,1995-10-20,"[Shah Rukh Khan, Kajol, Anupam Kher, Satish Shah, Achala Sachdev, Himani Shivpuri, Mandira Bedi, Uday Chopra, Parmeet Sethi, Karan Johar]","[Javed Siddiqui, Manmohan Singh, Uday Chopra, Yash Chopra, Sharmishta Roy]","[Comedy, Drama, Romance]"
Jul i Mummidalen,,[],[],[]
The Shawshank Redemption,1994-09-23,"[Tim Robbins, Morgan Freeman, Bob Gunton, Clancy Brown, Mark Rolston, James Whitmore, Gil Bellows, William Sadler, Larry Brandenburg, Neil Giuntoli, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane]","[Frank Darabont, Thomas Newman, Roger Deakins, Richard Francis-Bruce, Terence Marsh, Deborah Aquila, Frank Darabont, Stephen King, Liz Glotzer, David V. Lester, Michael Seirton, John Soukup, Jack Keller]","[Drama, Crime]"
Your Name.,2016-08-26,"[Ryunosuke Kamiki, Mone Kamishiraishi, Masami Nagasawa, Etsuko Ichihara, Ryou Narita, Aoi Yuki, Kaito Ishikawa, Tani Kanon, Masaki Terasoma, Sayaka Ohara, Kana Hanazawa, Kazuhiko Inoue]","[Makoto Shinkai, Makoto Shinkai, Makoto Shinkai, Yojiro Noda, Yojiro Noda, Ei Inoue]","[Romance, Animation, Drama]"
The Godfather,1972-03-14,"[Marlon Brando, Al Pacino, James Caan, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Diane Keaton, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Morgana King, Lenny Montana, John Martino]","[Francis Ford Coppola, Albert S. Ruddy, Mario Puzo, Francis Ford Coppola, William Reynolds, Peter Zinner, Mario Puzo, Gordon Willis, Nino Rota, Dean Tavoularis, Philip Smith, Anna Hill Johnstone, Gray Frederickson, Louis DiGiaimo, Fred Roos, Robert Ward, Fred T. Gallo]","[Drama, Crime]"
Sansho the Bailiff,1954-03-31,"[Kinuyo Tanaka, Eitarô Shindô, Ichirô Sugai, Teruko Omi]","[Kenji Mizoguchi, Masaichi Nagata, Fumio Hayasaka, Tokuzô Tanaka, Kazuo Miyagawa]",[Drama]
Spirited Away,2001-07-20,"[Miyu Irino, Mari Natsuki, Bunta Sugawara, Ryunosuke Kamiki, Tatsuya Gashûin, Yo Oizumi, Tsunehiko Kamijô, Takehiko Ono, Ken Yasuda, David Ogden Stiers]","[Hayao Miyazaki, Toshio Suzuki, Yasuyoshi Tokuma, Joe Hisaishi, Takeshi Seyama, Hayao Miyazaki, Michiyo Yasuda, Michihiro Itou]","[Animation, Family, Fantasy]"
Schindler's List,1993-11-29,"[Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Embeth Davidtz, Malgorzata Gebel, Mark Ivanir, Andrzej Seweryn, Friedrich von Thun, Harry Nehring, Norbert Weisser, Anna Mucha, Albert Misak]","[Steven Spielberg, Steven Zaillian, Steven Spielberg, Branko Lustig, Gerald R. Molen, Janusz Kamiński, Michael Kahn, Anna B. Sheppard, John Williams, Juliet Taylor, Allan Starski]","[Drama, History, War]"
The Godfather: Part II,1974-12-20,"[Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G. D. Spradlin, Richard Bright, Francesca De Sapio, Oreste Baldini, Gastone Moschin, Giuseppe Sillato, Bruno Kirby, Frank Sivero, Morgana King, Marianna Hill, Leopoldo Trieste, Dominic Chianese]","[Francis Ford Coppola, Francis Ford Coppola, Gray Frederickson, Fred Roos, Mario Puzo, Francis Ford Coppola, Gordon Willis, Carmine Coppola, Nino Rota, Dean Tavoularis, Barry Malkin, Richard Marks, Peter Zinner, Jane Feinberg, Mike Fenton, Vic Ramos]","[Drama, Crime]"
"Toto, Peppino, and the Hussy",1956-08-14,"[Totò, Teddy Reno, Nino Manfredi]","[Camillo Mastrocinque, Lelio Luttazzi]",[Comedy]
