name,gender
Wendy Stites,f
Deb Dyer,f
Dan Hennah,m
Emma Thomas,f
Gary Fettis,m
Christopher Nolan,m
Michael Powell,m
Al Ernest Garcia,m
Arthur Schmidt,m
Leslie Dilley,m
Francis Ford Coppola,m
Albert S. Ruddy,m
Roger Avary,m
Eva Kroll,f
Martin Müller,m
Hal Pereira,m
Danny Cohen,m
Ronna B. Wallace,f
Sophie Mas,f
Martin McDonagh,m
Milena Canonero,f
Carl Theodor Dreyer,m
Lawrence B. Marcus,m
John Alcott,m
Hideaki Anno,m
Jonathan Nolan,m
Robert Zemeckis,m
Reginald Rose,m
Michael Lynne,m
Roland Totheroh,m
Paulo Lins,m
Kerry Barden,m
Joe Hisaishi,m
Jan Harlan,m
Adrian Belew,m
Mario Cecchi Gori,m
Carter DeHaven,m
Irvin Kershner,m
Hans Christian Andersen,m
Paul Hellerman,m
Alfred Hitchcock,m
Peter Jackson,m
Kevin Sullivan,m
Winston Groom,m
Takeshi Seyama,m
George Lucas,m
Fumio Hayasaka,m
Richard Chew,m
Mitsuhisa Ishikawa,m
Andrew Lesnie,m
Howard Feuer,m
Nino Baragli,m
Martin Scorsese,m
Bryan Singer,m
Agatha Christie,f
Oriol Paulo,m
Andrea Barata Ribeiro,f
Edith Head,f
Dean Wolcott,m
Mamoru Hosoda,m
Mark Gatiss,m
Yasuyoshi Tokuma,m
Shinobu Hashimoto,m
Jeanette Brill,f
Michael Ballhaus,m
Tôru Takemitsu,m
Carlo Simi,m
Nicholas Pileggi,m
Charlie Chaplin,m
Ralph Nelson,m
Gary Goetzman,m
Christopher Nolan,m
Mauricio Andrade Ramos,m
Vittorio De Sica,m
Francis Ford Coppola,m
Vic Ramos,m
Andrew Kevin Walker,m
Michael Seirton,m
Arnon Milchan,m
Dorothy Byrne,f
Michihiro Itou,m
Andrzej Sekula,m
Stephen King,m
Carmine Coppola,m
Irwin Winkler,m
David Fincher,m
Joe Hisaishi,m
Patti Podesta,f
J.R.R. Tolkien,m
Hideo Oguni,m
Danilo Donati,m
Ellen Lewis,f
Luc Besson,m
Gordon Pollock,m
Shaila Rubin,f
Furio Scarpelli,m
Harry Crocker,m
Peter Jackson,m
Frank Darabont,m
William M. Anderson,m
Haskell Wexler,m
Ellen Lewis,f
Ken Kesey,m
Dianne Crittenden,f
Kazuo Miyagawa,m
Howard Feuer,m
Steven Spielberg,m
Magali Guidasci,f
Rita Riggs,f
James B. Harris,m
Mark Ordesky,m
Samuel A. Taylor,m
Toshio Suzuki,m
John Williams,m
Darius Khondji,m
Robert Burks,m
Fran Walsh,f
Joseph Delteil,m
Terri Taylor,f
Steven Moffat,m
Barrie M. Osborne,m
Melissa Toth,f
Louis C.K.,m
Herbert Coleman,m
Michelle Lannon,f
Tooru Hara,m
Charlie Chaplin,m
Yukihiro Shibutani,m
Dan Weil,m
Alain Sarde,m
Buster Keaton,m
Bernardo Bertolucci,m
Mali Finn,f
Willard Nico,m
Suso Cecchi d'Amico,f
Danilo Donati,m
Kevin De La Noy,m
Bob Weinstein,m
Stacey Sher,f
David McKenna,m
Michael Powell,m
André Aciman,m
Kristi Zea,f
Zach Staenberg,m
James Ivory,m
Deborah Aquila,f
Kenneth Utt,m
Saul Bass,m
Akira Kurosawa,m
Michael E. Phillips,m
Maurice Jarre,m
Chung Seo-kyung,f
George Milo,m
Tonino Delli Colli,m
Sidney Lumet,m
Michael De Luca,m
Isao Takahata,m
David McKenna,m
Steven Zaillian,m
Carter DeHaven,m
Ted Tally,m
Roberto Benigni,m
Asakazu Nakai,m
Stanley Kubrick,m
Kenneth Kokin,m
J. Michael Straczynski,m
Christopher McQuarrie,m
Agenore Incrocci,m
Bill Condon,m
Luca Guadagnino,m
Jacques Becker,m
Joseph A. Mitchell,m
Frank Maher,m
Karyn Wagner,f
Buster Keaton,m
Doug Cooper,m
Nino Rota,m
Walter Salles,m
Carl Tibbetts,m
Lawrence Turman,m
Dody Dorn,f
Ei Inoue,f
Gordon Willis,m
Betsy Heimann,f
Noriyoshi Oohira,m
Sergio Leone,m
Mark Frost,m
Theodore Reed,m
Ronnie Yeskel,f
Leslie Dilley,m
Edward Small,m
Alessandro Cicognini,m
Sergio Leone,m
Sharone Meir,m
Hans Zimmer,m
Tom Schulman,m
Wendy Carlos,f
William A. Farley,m
David Valdes,m
Robert Ward,m
Alfred Hitchcock,m
Michio Mamiya,m
Xavier Dolan,m
Louis C.K.,m
John Landis,m
Mark Ordesky,m
John Morrissey,m
Takahiro Omori,m
Norman Reynolds,m
Franz-Josef Spieker,m
Roland Totheroh,m
Lana Wachowski,f
Charlie Chaplin,m
Guel Arraes,m
Alex McDowell,m
Park Chan-wook,m
Rudolph Maté,m
Albert Austin,m
Mario Puzo,m
Alfred Hitchcock,m
John Gilbert,m
Michael Seirton,m
Michael McDonnell,m
Phyllis Carlyle,f
Sally Menke,f
Reginald Rose,m
Charlie Brooker,m
J.R.R. Tolkien,m
Gray Frederickson,m
Mark Livolsi,m
Michael Uslan,m
Peter Czernin,m
Tim Galvin,m
Sergio Leone,m
Harry Keramidas,m
Charlie Chaplin,m
Ed Guiney,m
Fran Walsh,f
John Williams,m
Francis Ford Coppola,m
Charlie Chaplin,m
Harvey Weinstein,m
César Charlone,m
Phil Tippett,m
Mario Cotone,m
Deborah Aquila,f
Carlo Simi,m
Johnny Klimek,m
Hiroshi Teshigahara,m
Lynzee Klingman,f
Clint Mansell,m
Richard Marks,m
Arthur Max,m
David Lynch,m
Nick Hurran,m
Christopher Nolan,m
Gary Kurtz,m
Akira Kurosawa,m
Robert Griffon Jr.,m
Charlie Chaplin,m
Peter Zinner,m
Jeff Cronenweth,m
Mathieu Vadepied,m
Frank Darabont,m
Michael Kahn,m
Dean Tavoularis,m
Yasuyoshi Tokuma,m
James Newton Howard,m
Paul Junger Witt,m
Serge Silberman,m
Philip Ivey,m
